vocab_size,embed_dim,num_characters,Non_vocab_parameters,FLOPs,Lossu
6144.0,512.0,1154291682.1740978,33222784.0,7.855598592e+16,-3.015336751937866
6144.0,512.0,1346673629.203114,33222784.0,9.164865024e+16,-3.0977530479431152
6144.0,512.0,1539055576.2321303,33222784.0,1.0474131456e+17,-3.2078869342803955
6144.0,512.0,1731437523.2611465,33222784.0,1.1783397888e+17,-3.361229658126831
6144.0,512.0,1923819470.2901628,33222784.0,1.309266432e+17,-3.506842851638794
6144.0,512.0,2116201417.319179,33222784.0,1.4401930752e+17,-3.6087861061096187
6144.0,512.0,2308583364.3481956,33222784.0,1.5711197184e+17,-3.6923012733459473
6144.0,512.0,2500965311.3772116,33222784.0,1.7020463616e+17,-3.7419869899749756
6144.0,512.0,2693347258.406228,33222784.0,1.8329730048e+17,-3.781939029693603
6144.0,512.0,2885729205.435244,33222784.0,1.963899648e+17,-3.818378448486328
6144.0,512.0,3078111152.4642606,33222784.0,2.0948262912e+17,-3.854008913040161
6144.0,512.0,3270493099.4932766,33222784.0,2.2257529344e+17,-3.8946571350097656
6144.0,512.0,3462875046.522293,33222784.0,2.3566795776e+17,-3.916520833969116
6144.0,512.0,3655256993.551309,33222784.0,2.4876062208e+17,-3.9336869716644287
6144.0,512.0,3847638940.5803256,33222784.0,2.618532864e+17,-3.9457671642303467
8192.0,512.0,200665028.14787918,33222784.0,1.347015168e+16,-1.109706997871399
8192.0,512.0,401330056.29575837,33222784.0,2.694030336e+16,-2.0917375087738037
8192.0,512.0,601995084.4436375,33222784.0,4.041045504e+16,-2.434530019760131
8192.0,512.0,802660112.5915167,33222784.0,5.388060672e+16,-2.7020678520202632
8192.0,512.0,1003325140.7393959,33222784.0,6.73507584e+16,-2.856154680252074
8192.0,512.0,1203990168.887275,33222784.0,8.082091008e+16,-3.0005998611450195
8192.0,512.0,1404655197.035154,33222784.0,9.429106176e+16,-3.095586061477661
8192.0,512.0,1605320225.1830335,33222784.0,1.0776121344e+17,-3.1814582347869873
8192.0,512.0,1805985253.3309126,33222784.0,1.2123136512e+17,-3.2765326499938965
8192.0,512.0,2006650281.4787917,33222784.0,1.347015168e+17,-3.442108154296875
8192.0,512.0,2207315309.626671,33222784.0,1.4817166848e+17,-3.5644853115081787
8192.0,512.0,2407980337.77455,33222784.0,1.6164182016e+17,-3.6362338066101074
8192.0,512.0,2608645365.922429,33222784.0,1.7511197184e+17,-3.731187582015991
8192.0,512.0,2809310394.070308,33222784.0,1.8858212352e+17,-3.773698568344116
8192.0,512.0,3009975422.2181873,33222784.0,2.020522752e+17,-3.810213565826416
8192.0,512.0,3210640450.366067,33222784.0,2.1552242688e+17,-3.8511691093444824
8192.0,512.0,3411305478.513946,33222784.0,2.2899257856e+17,-3.876185894012447
8192.0,512.0,3611970506.661825,33222784.0,2.4246273024e+17,-3.906224012374878
8192.0,512.0,3812635534.8097043,33222784.0,2.5593288192e+17,-3.9381601810455322
8192.0,512.0,4013300562.9575834,33222784.0,2.694030336e+17,-3.936743974685669
10240.0,512.0,207075999.29477254,33222784.0,1.384763904e+16,-1.0527575016021729
10240.0,512.0,414151998.5895451,33222784.0,2.769527808e+16,-2.041045665740967
10240.0,512.0,621227997.8843176,33222784.0,4.154291712e+16,-2.4415647983550697
10240.0,512.0,828303997.1790901,33222784.0,5.539055616e+16,-2.688847303390503
10240.0,512.0,1035379996.4738628,33222784.0,6.92381952e+16,-2.8532512187957764
10240.0,512.0,1242455995.7686353,33222784.0,8.308583424e+16,-2.9677557945251465
10240.0,512.0,1449531995.063408,33222784.0,9.693347328e+16,-3.0796713829040527
10240.0,512.0,1656607994.3581803,33222784.0,1.1078111232e+17,-3.137906074523926
10240.0,512.0,1863683993.652953,33222784.0,1.2462875136e+17,-3.2515673637390137
10240.0,512.0,2070759992.9477255,33222784.0,1.384763904e+17,-3.3772165775299072
10240.0,512.0,2277835992.242498,33222784.0,1.5232402944e+17,-3.5052218437194824
10240.0,512.0,2484911991.5372705,33222784.0,1.6617166848e+17,-3.6217403411865234
10240.0,512.0,2691987990.832043,33222784.0,1.8001930752e+17,-3.6939704418182373
10240.0,512.0,2899063990.126816,33222784.0,1.9386694656e+17,-3.752220869064331
10240.0,512.0,3106139989.4215884,33222784.0,2.077145856e+17,-3.7763912677764893
10240.0,512.0,3313215988.7163606,33222784.0,2.2156222464e+17,-3.819117546081543
10240.0,512.0,3520291988.011133,33222784.0,2.3540986368e+17,-3.859236001968384
10240.0,512.0,3727367987.305906,33222784.0,2.4925750272e+17,-3.892894983291626
10240.0,512.0,3934443986.6006784,33222784.0,2.6310514176e+17,-3.9177801609039307
10240.0,512.0,4141519985.895451,33222784.0,2.769527808e+17,-3.946394681930542
16384.0,512.0,220318392.5598375,33222784.0,1.498010112e+16,-0.9297419786453247
16384.0,512.0,440636785.119675,33222784.0,2.996020224e+16,-1.9638468027114866
16384.0,512.0,660955177.6795125,33222784.0,4.494030336e+16,-2.3793976306915283
